sample_id,topic_name,topic_text
T034_S0001,34_turn alarm_automatically activate_applet set_set time,"When Every day of the week at from Date & Time, do Turn lights on using LIFX. Weekday Wake Up Lights. Select the time of the morning and days you want your lights to wake you up"
T034_S0002,34_turn alarm_automatically activate_applet set_set time,"When Every day of the week at from Date & Time, do Change color of lights using LIFX. LIFX Chill-Out Time. Simple LiFX Applet to set a relaxing mood any time / day of the week."
T034_S0003,34_turn alarm_automatically activate_applet set_set time,"When Every day at from Date & Time, do Call a function using Particle. Schedule Game Frame Brightness. Control Game Frame brightness based on the time of day#gameframe"
T034_S0004,34_turn alarm_automatically activate_applet set_set time,"When Every day at from Date & Time, do Set the brightness using simplehuman. Wake up to a bright sensor mirror. In the morning your sensor mirror will brighten up to give you energy for the day."
T034_S0005,34_turn alarm_automatically activate_applet set_set time,"When Device is plugged in from Android Battery, do Turn lights off using LIFX. Turn off my lights when I plug in my phone. When I go to bed, I always plug in my phoneUse this Applet so that every time you go to bed, you can make sure your lights are all turned off."
T034_S0006,34_turn alarm_automatically activate_applet set_set time,"When Every day of the week at from Date & Time, do Turn lights on using LIFX. If any day of the week turn lights on. Turn lights on at a set time any day of the week."
T034_S0007,34_turn alarm_automatically activate_applet set_set time,"When Every year on from Date & Time, do Change color of lights using LIFX. State of Origin 2016 - Game 3- NSW Blues. For all the NSW Blues Fans with LIFX globesCarn the Blues! (just remember to delete/turn off after match or your lights will mysteriously turn blue each year on the 13/7)"
T034_S0008,34_turn alarm_automatically activate_applet set_set time,"When Every day at from Date & Time, do Change color of lights using LIFX. LIFX Terrarium Lights - Daytime. When using  an LIFX Color 1000 bulb to light a terrarium, this Applet will automatically change the color to a daytime setting at a preset time(Default: 7:00am change to warm white @ 100% with a 1hrchange duration)"
T034_S0009,34_turn alarm_automatically activate_applet set_set time,"When Every day at from Date & Time, do Turn lights off using LIFX. Turn off your LIFX light bulb. Turn off your LIFX light bulb at 2:00 AM"
T034_S0010,34_turn alarm_automatically activate_applet set_set time,"When Every day of the week at from Date & Time, do Turn lights on using LIFX. If <Picked Day> of the week at <Given Time> then turn LIFX lights on.. Turn on your LIFX lights at a given timePick the light/light group, fade in duration and color."
T034_S0011,34_turn alarm_automatically activate_applet set_set time,"When Every day of the week at from Date & Time, do Turn lights off using LIFX. Weekday Lights Off. Turns off lights at 11:15pm Sunday through Thursday evenings, for when wireless network turns off at 11:30pm."
