node_id,source,content_type,green_category,active_green_categories,label,article_id,source_title,section_title,sample_id,llm_topic_name,word_count,text_preview,x,y,z
article_1__section_001__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Abstract,,,,"Bioenergy: energy from materials derived from biological products (e. g., wood, algae) which are often burned to generate electricity. Concentrating solar power (CSP): the indirect type of solar energy which uses mirrors or lenses to con...",-5.480646133422852,11.023885726928711,14.4002103805542
article_1__section_002__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Untitled section,,,,"Renewable energy is an important piece of the puzzle in meeting growing energy demands and mitigating climate change, but the potentially adverse effects of such technologies are often overlooked. Given that climate and ecology are inext...",-5.493381023406982,11.037452697753906,14.387042999267578
article_1__section_003__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,The Rise of Renewables,,,,"Growing human populations and rising levels of consumption have elevated energy demands, placing increasing burdens on the environmentparticularly on the global climate. In a transition to clean sources of energy, much energy growth will...",-5.48087215423584,11.024653434753418,14.399591445922852
article_1__section_003__chunk_002,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,The Rise of Renewables,,,,"Hydropower has the largest environmental impacts, mostly because of habitat loss and fragmentation caused by impoundment reservoirs and roads needed for dam construction and maintenance. Dams block animal migration and disrupt river flow...",-5.4863505363464355,11.030325889587402,14.393943786621094
article_1__section_004__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Overall Trends in Renewable Energy,,,,"In 2016 the installed electricity generation capacity of hydropower was 1096 GW (Figure 1). Actual electricity generation, however, was estimated at only 4.1 PWh, much lower than the potential global annual generation of 52.0 PWh. This c...",-5.494441986083984,11.038187026977539,14.386041641235352
article_1__section_004__chunk_002,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Overall Trends in Renewable Energy,,,,"For the first time, developing countries (including the 'BRICS' nations of Brazil, Russia, India, China, and South Africa) exceeded developed countries in investment, with China alone accounting for 32% of total global investment in rene...",-5.518837928771973,11.062518119812012,14.361727714538574
article_1__section_005__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Hydropower: The Largest Renewable Energy Source,,,,"Carbon Emissions As of March 2014 some 3700 sizable (>1 MW) hydroelectric dams were either planned (83%) or under construction (17%) worldwide, with about nine-tenths of these being in developing nations. Despite being touted as a clean ...",-5.501297950744629,11.045329093933105,14.37889289855957
article_1__section_006__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Impacts on Biodiversity,,,,"In many contexts, the largest impact caused by hydropower is the habitat lost to impoundment reservoirs. Globally, hydroelectric reservoirs cover an area of 340 000 km 2, nearly the size of Germany, replacing important lowland and riveri...",-5.5039238929748535,11.048376083374023,14.37584400177002
article_1__section_006__chunk_002,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Impacts on Biodiversity,,,,"Dams along the Mekong and its tributaries create barriers that disrupt upstream spawning migration and the downstream drift of fish eggs and larvae, and threaten fisheries that provide likelihoods and food resources for many of the 65 mi...",-5.558443546295166,11.103312492370605,14.320878982543945
article_1__section_006__chunk_003,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Impacts on Biodiversity,,,,Dams can also contribute to increased saltwater intrusion in river mouths by blocking the flow of sediment which helps to keep deltas above sea level. One of the few positive effects of hydroelectric development is that the impoundment o...,-5.519253253936768,11.063728332519531,14.360514640808105
