sample_id,topic_name,topic_text
T_OUTLIER_S0201,-1_use smartthings_detects_automatically turn_run homeseer event,"When You exit an area from Location, do End activity using Harmony. Use your location to end a Harmony activity. If You exit an area, then end Harmony activity"
T_OUTLIER_S0202,-1_use smartthings_detects_automatically turn_run homeseer event,"When End of cycle from GE Appliances Dishwasher, do Blink lights using Philips Hue. Blink your lights when a cycle ends. Hey! Your GE Appliances dishwasher cycle is done! Blink your lights so you know it's time to unload your dishes!"
T_OUTLIER_S0203,-1_use smartthings_detects_automatically turn_run homeseer event,"When Cooking timer done from GE Appliances Cooking, do Blink lights using Philips Hue. Flash your Philips Hue lights when your oven is done cooking. Pop your meal in the oven, then move on to other thingsYour Philips Hue lights will flash when oven timer is complete."
T_OUTLIER_S0204,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in at category from Foursquare, do Log a meal using UP by Jawbone. Log my meals in UP. Add a meal to Jawbone UP to fill in later.Best used with https://ifttt.com/Applets/138352, to remember to fill in the details."
T_OUTLIER_S0205,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in at category from Foursquare, do Log a meal using UP by Jawbone. Foursquare Logging Meals on UP. Automatically log a meal when you check into a restaurant or food place on Foursquare"
T_OUTLIER_S0206,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in at category from Foursquare, do Log a meal using UP by Jawbone. Camomile tea as a treat. minyBreak from routine walk"
T_OUTLIER_S0207,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in at category from Foursquare, do Log a meal using UP by Jawbone. Restaurant Checkins in Swarm. post restaurant checkin to UP stream"
T_OUTLIER_S0208,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in at category from Foursquare, do Log a meal using UP by Jawbone. Automatically log a drink with my shout when I check in at a ""Nightlife Spot"".. You can either leave your foursquare shout or update it to say ""beer"", ""cocktail"", etc."
T_OUTLIER_S0209,-1_use smartthings_detects_automatically turn_run homeseer event,"When Motion has been detected from Withings Home, do Blink lights using Philips Hue. Scare intruders by making your lights blink when motion is detected.. Perfect recipe to change your Withings Home into a light switch, or to scare a burglar breaking into your home."
T_OUTLIER_S0210,-1_use smartthings_detects_automatically turn_run homeseer event,"When Temperature drops below from Wink: Spotter, do Set temperature using Nest Thermostat. If temp drops below 20 degrees on basement floor then increase temp on Nest on ground floor. Compensate for warmer temperature on ground floor for basement"
T_OUTLIER_S0211,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone known has been seen from Netatmo Security, do Turn on lights using Philips Hue. Turn on the lights when a known person is seen by your Welcome camera. Automatically turn on lights when someone known has been detected by Welcome."
T_OUTLIER_S0212,-1_use smartthings_detects_automatically turn_run homeseer event,"When Motion has been detected from Netatmo Security, do myStrom device on using myStrom. Welcome Motion detected, MyStrom on. If Welcome Station Motion has been detected, turn on a Mystrom Switch."
T_OUTLIER_S0213,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone known arrives home from Netatmo Security, do Turn off using D-Link Smart Plug. If known person arrives at home, then turn off D-Link Smart Plug.. If known person arrives at home, then turn off D-Link Smart Plug."
T_OUTLIER_S0214,-1_use smartthings_detects_automatically turn_run homeseer event,"When Motion has been detected from Netatmo Security, do Turn on using D-Link Smart Plug. If motion seen by Netatmo Welcome, then turn on D-Link Smart Plug.. If motion seen by Netatmo Welcome, then turn on D-Link Smart Plug."
T_OUTLIER_S0215,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone known arrives home from Netatmo Security, do Turn on using D-Link Smart Plug. If known person arrives at home, then turn on D-Link Smart Plug.. If known person arrives at home, then turn on D-Link Smart Plug."
T_OUTLIER_S0216,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone unknown has been seen from Netatmo Security, do Turn on using D-Link Smart Plug. If unknown person seen by Welcome, then turn on D-Link Smart Plug .. If unknown person seen by Welcome, then turn on D-Link Smart Plug ."
T_OUTLIER_S0217,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone known has been seen from Netatmo Security, do Lock door using Danalock. If a person is seen,lock the door. If a person is seen, then lock the door"
T_OUTLIER_S0218,-1_use smartthings_detects_automatically turn_run homeseer event,"When Temperature rises above from Nest Thermostat, do Activate shortcut using Wink: Shortcuts. Turn on Ceiling Fans when Temp is > 72 Degrees. Use Nest, a GE Smart Fan Switch and a Wink Shortcut to control your fansAdd the GE switch to Wink, create a shortcut in Wink to control the speed and number of the fan(s) and add the recipe to ifttt."
T_OUTLIER_S0219,-1_use smartthings_detects_automatically turn_run homeseer event,"When Every day at from Date & Time, do Lock device using LightwaveRF Power. Lock a LightwaveRF Socket at a specific time. At a pre-selected time, lock a LightwaveRF Socket to prevent manual operation."
T_OUTLIER_S0220,-1_use smartthings_detects_automatically turn_run homeseer event,"When Carbon dioxide rises above from Netatmo Weather Station, do Turn on fan for 15 minutes using Nest Thermostat. If CO2 above threshold then turn on fan for 15 minutes.. Set CO2 threshold (or other netatmo data threshold) and turn on fan using nest for 15 minutes."
T_OUTLIER_S0221,-1_use smartthings_detects_automatically turn_run homeseer event,"When Every day at from Date & Time, do Close door using Gogogate. Be sure that your garage is closed every night at 10:30pm. Have peace of mind that your house is secure every night! This Recipe will attempt to close your garage at 10:30pm every nightIf the garage door is already closed, it will remain closed."
T_OUTLIER_S0222,-1_use smartthings_detects_automatically turn_run homeseer event,"When Every day at from Date & Time, do Close garage door using Garageio. Check and close the garage door every night with Garageio. Ever wonder if you closed the garage? Set a time of day and if Garageio sees that the door is open at that time, it will automatically close it."
T_OUTLIER_S0223,-1_use smartthings_detects_automatically turn_run homeseer event,"When Every day at from Date & Time, do Close garage door using Garageio. Check for Girls door status at 10:00pm test. Just want to make sure door is closed before the news starts"
T_OUTLIER_S0224,-1_use smartthings_detects_automatically turn_run homeseer event,"When Every day at from Date & Time, do Close garage door using Garageio. Close Garage Door in the morning. Sometimes you can forget to close the door when you leave in the morningThis makes sure that doesn't happen."
T_OUTLIER_S0225,-1_use smartthings_detects_automatically turn_run homeseer event,"When Button press from Button widget, do Pause using ThermoSmart. One click action pausing your ThermoSmart. This Action pauses your ThermoSmart with just one click."
T_OUTLIER_S0226,-1_use smartthings_detects_automatically turn_run homeseer event,"When Button press from Button widget, do Set temperature using ThermoSmart. One click to set a ThermoSmart temperature. This Action will set your ThermoSmart with one click to a temperature you have specified."
T_OUTLIER_S0227,-1_use smartthings_detects_automatically turn_run homeseer event,"When Button press from Button widget, do Unpause using ThermoSmart. One click to unpause your ThermoSmart. This Action unpauses your ThermoSmart with just one click."
T_OUTLIER_S0228,-1_use smartthings_detects_automatically turn_run homeseer event,"When Button press from Button widget, do Unpause using ThermoSmart. Unpause your ThermoSmart. Unpause with just one tap!"
T_OUTLIER_S0229,-1_use smartthings_detects_automatically turn_run homeseer event,"When Button press from Button widget, do Start Auto Mode using tado Air Conditioning. Start your AC's auto mode. This will activate your AC's auto modeEnjoy!"
T_OUTLIER_S0230,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in at category from Foursquare, do Log an event using UP by Jawbone. Track where you eat in UP. Eases remembering when you ate somewhere for meal logging later."
