sample_id,topic_name,topic_text
T_OUTLIER_S0401,-1_use smartthings_detects_automatically turn_run homeseer event,"When Current condition changes to from Weather Underground, do Close garage door using Garageio. If it starts raining, make sure that your garage is closed. If the current weather conditions change to rain, this Applet will close your garage door if it's open."
T_OUTLIER_S0402,-1_use smartthings_detects_automatically turn_run homeseer event,"When Temperature rises above from Nest Thermostat, do Switch on using SmartThings. Turn on fan before the A/C. Great way to get air circulating before having to turn on the A/C."
T_OUTLIER_S0403,-1_use smartthings_detects_automatically turn_run homeseer event,"When Oven turned on from GE Appliances Cooking, do Blink lights using Philips Hue. Flash your Phillips Hue lights when your oven turns on. Is someone baking cookies? Keep tabs on your oven by flashing your lights anytime someone turns on the oven."
T_OUTLIER_S0404,-1_use smartthings_detects_automatically turn_run homeseer event,"When Oven turned on from GE Appliances Cooking, do Turn on fan for 15 minutes using Nest Thermostat. Signal your Nest thermostat to turn on the HVAC fan when your oven is on. When your oven turns on, your Nest Thermostat will activate the HVAC system fan to help circulate air."
T_OUTLIER_S0405,-1_use smartthings_detects_automatically turn_run homeseer event,"When Mode switched from Futurehome, do End activity using Harmony. Turn off your television if the house is set to ""Away mode"". If your Futurehome Away mode is activated your Logitech Harmony will end an activity."
T_OUTLIER_S0406,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in tagged from Foursquare, do Turn on using WeMo Smart Plug. Turn on a light every time you check in at #home. Make sure to add the #hashtag #home to your check in!"
T_OUTLIER_S0407,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in tagged from Foursquare, do Turn on using WeMo Smart Plug. Turn on the lights when you check in at #home. This Recipe works when the hashtag #home is in your checkin's shoutSo when you checkin at home be sure to include #home."
T_OUTLIER_S0408,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in at category from Foursquare, do Turn on then off using WeMo Light Switch. Landed Safely. Here's a simple way to let my family know when I've arrived when travelingI set my Foursquare trigger to activate any time I check in at an airport to flash my lights on and off at my house."
T_OUTLIER_S0409,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in tagged from Foursquare, do Voice announcement using Ubi. Announce your latest Swarm Check-in. Add a hashtag on your Swarm check-in and get Ubi to announce itUseful for informing family or friends that you have arrived at your destination."
T_OUTLIER_S0410,-1_use smartthings_detects_automatically turn_run homeseer event,"When New check-in at category from Foursquare, do Turn on lights using Philips Hue. Turn on Hue lights with a Foursquare checkin at home. This will turn on your Phillips Hue light(s) when you checkin at any Foursquare venue categorized as ""Home (Private)""."
T_OUTLIER_S0411,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone unknown has been seen from Netatmo Security, do Change color using Philips Hue. Turn on red lights when someone unknown is seen. Red light alert when an unknown person is detected !"
T_OUTLIER_S0412,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone unknown has been seen from Netatmo Security, do myStrom device on using myStrom. Welcome unknown seen, MyStrom on. If the Welcome Station, someone unknown has been seen, MyStrom turn on Switch."
T_OUTLIER_S0413,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone known has been seen from Netatmo Security, do Display Notification using LaMetric Time. Netatmo Hello notification for known person on LaMetric. This recipe shoots a notification on the LaMetric screen for know persons."
T_OUTLIER_S0414,-1_use smartthings_detects_automatically turn_run homeseer event,"When Temperature rises above from Nest Thermostat, do Turn A/C on using Wink: Aros. Set thresholds on Nest Thermostat to trigger on/off of Quirky Aros A/C. Control your Quirky Aros A/C unit using thresholds set on the Nest thermostat (above 72F in the house? turn A/C unit on.)"
T_OUTLIER_S0415,-1_use smartthings_detects_automatically turn_run homeseer event,"When Button press from Button widget, do Activate overwork timer using Nefit Easy. Activate thermostat timer with a single tap. Set your room temperature # ÃÂÃÂÃÂÃÂ°C for # minutes."
T_OUTLIER_S0416,-1_use smartthings_detects_automatically turn_run homeseer event,"When Button press from Button widget, do Set room temperature using Nefit Easy. Activate heating with just a tap. Coming home and create a cozy warm house? Boost your heating shortly."
T_OUTLIER_S0417,-1_use smartthings_detects_automatically turn_run homeseer event,"When Flash button double pressed from Misfit, do Switch on using SmartThings. Turn on a Light when Misfit Link Button Double Pressed. Easily Control a light with Misfit"
