sample_id,topic_name,topic_text
T001_S0001,1_use wink_set ecobee_automatic_turn device,"When Every hour at from Date & Time, do Zap using PAVLOK. Re-focus on high priority tasks by zapping me every 30 minutes. Sometimes, I need a little zap to get me on the right tasks"
T001_S0002,1_use wink_set ecobee_automatic_turn device,"When Every hour at from Date & Time, do Zap using PAVLOK. Being more productive and goal driven. Stop  procrastination."
T001_S0003,1_use wink_set ecobee_automatic_turn device,"When Every hour at from Date & Time, do Zap using PAVLOK. Hourly Zap. Zap to get off butt every hour"
T001_S0004,1_use wink_set ecobee_automatic_turn device,"When Every day at from Date & Time, do Vibrate using PAVLOK. Weight Watchers: Did you track your supper?. If I get caught at 8:00 PM without having tracked my supper, I've got to zap myself for it."
T001_S0005,1_use wink_set ecobee_automatic_turn device,"When Every day at from Date & Time, do Vibrate using PAVLOK. Did you track breakfast?. If I haven't tracked breakfast yet when this vibration catches me, then I've got to hit the zap button and get zapped for it."
T001_S0006,1_use wink_set ecobee_automatic_turn device,"When Every hour at from Date & Time, do Vibrate using PAVLOK. If every hour, then vibrate. Need to be reminded for a stretch break at the top of the hour?"
T001_S0007,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Set comfort profile until next transition using ecobee. Put ecobee thermostat to Sleep Profile when Up sleep mode enabled.. Sets your home's temperature to the Sleep comfort profile when your Jawbone Up goes into sleep mode"
T001_S0008,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Set hold until next transition using ecobee. Automatically turn the temperature down when you go to sleep!. You can very easily turn your thermostat down for the night, as soon as you put your UP band into sleep mode!"
T001_S0009,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Switch off using SmartThings. Sleep Mode Turns out Light. When UP24 is put into sleep mode, it will turn off a lightCan be used to turn off bedroom light."
T001_S0010,1_use wink_set ecobee_automatic_turn device,"When Sleep mode disabled from UP by Jawbone, do Disarm a mode using Scout Alarm. Disarm Your Scout When you Wake Up. Use your Jawbone Up band to disarm sleep mode when you wake up."
T001_S0011,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Turn off lights using Philips Hue. Put UP in sleep mode, turn off all Hue lights. Don't forget to turn off all your Hue lights when you go to sleep, simply put your UP band into sleep mode and trigger all of your Hue lights to switch off"
T001_S0012,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Turn off lights using Philips Hue. Nighty night. Set UP to sleep mode, the lights turn off."
T001_S0013,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Turn off lights using Philips Hue. Turns off lights when putting UP24 to sleep.. Simple Applet to turn off lights."
T001_S0014,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Turn off lights using Philips Hue. Lights off when u go to sleep. Turn off hue lights when you go to sleep"
T001_S0015,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Turn off lights using Philips Hue. Use Up24 sleep mode to switch off the lights. Use the Jawbone UP24 band as a light switch"
T001_S0016,1_use wink_set ecobee_automatic_turn device,"When Sleep mode disabled from UP by Jawbone, do Set temperature using Nest Thermostat. Control thermostat by waking. Control Nest Thermostat with Jawbone Up"
T001_S0017,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Start recording using Manything. Jawbone Up24 to control Manything recording - Start. Use JawboneUp24 to start Manything Recording when enabling sleep mode"
T001_S0018,1_use wink_set ecobee_automatic_turn device,"When Sleep mode disabled from UP by Jawbone, do Stop recording using Manything. Jawbone Up24 to control Manything recording - Stop. Use JawboneUp24 to stop Manything Recording when disabling sleep mode"
T001_S0019,1_use wink_set ecobee_automatic_turn device,"When Sleep mode disabled from UP by Jawbone, do Activate Output using littleBits. Heat up my waffle iron when I rise in the AM. Love waffles for breakfast? Use the littleBits AC Switch to turn on your waffle iron when you disable sleep mode on your jawbone UPNo more waiting around in the morningJump right in to that breakfast business!"
T001_S0020,1_use wink_set ecobee_automatic_turn device,"When Sleep mode disabled from UP by Jawbone, do Activate scene using LIFX. If sleep mode disabled, then activate LIFX Scene. Add your favorite scene and your slights will respond when you awake"
T001_S0021,1_use wink_set ecobee_automatic_turn device,"When Sleep mode enabled from UP by Jawbone, do Turn lights off using LIFX. Turn off lights when I go to bed. Select your lights to turn off."
T001_S0022,1_use wink_set ecobee_automatic_turn device,"When Sleep mode disabled from UP by Jawbone, do Start activity using Harmony. Start a Harmony activity when you wake up. If sleep mode disabled, then start Harmony activity"
T001_S0023,1_use wink_set ecobee_automatic_turn device,"When New daily movement logged from UP by Jawbone, do Quick add event using Google Calendar. Activity Report UP to Google Calendar. Activity Report UP to Google Calendar"
T001_S0024,1_use wink_set ecobee_automatic_turn device,"When Sleep mode disabled from UP by Jawbone, do Activate shortcut using Wink: Shortcuts. When Jawbone UP is set to awake mode, turn on lights + adjust thermostat. Use Jawbone UP to trigger Wink to control your smart products around your homeWhen Jawbone UP is set to awake, turn on lights + adjust thermostatTips: 1) Use Wink compatible lights and thermostats2) Use the Wink HUB to allow your smart products to work together3) Create a Shortcut in the Wink App to turn on lights + adjust thermostat, then use IFTTT to trigger this shortcut when your Jawbone UP is set to awake mode."
