sample_id,topic_name,topic_text
T036_S0001,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Motion Detected from Ring, do Toggle on/off using WeMo Light Switch. Toggle the lights on/off when there is motion at my door. A useful security measure when there are people near your door"
T036_S0002,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Ring Detected from Ring, do Start recording using Arlo. If Ring doorbell is rung, then Arlo records for 30 seconds. This helps when your Arlo is set up near your doorbell but is not activating quickly enough to catch the full event on it's ownInstead of waiting for Arlo's motion sensor to catch the movement or raising it and risking false alarms, you're using the doorbell as that trigger.You'll be able to select which doorbell triggers this (in the event you have multiple doorbells) and which Arlo camera to record withYou can also choose to record for 10, 30, or 60 seconds."
T036_S0003,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Motion Detected from Ring, do Turn on lights using Philips Hue. Turn on your Hue light when Ring detects motion at your door. Deter burglars and welcome guests automatically by lighting up your house when the Ring video doorbell detects motion."
T036_S0004,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Motion Detected from Ring, do Turn on using WIFIPLUG. If Motion Detected Switch On WIFIPLUG. We have several Applets for Ring & WIFIPLUG"
T036_S0005,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Motion Detected from Ring, do Start recording using Arlo. If new Motion detected at Front Door, then Arlo Starts Recording. If new Motion detected at Front Door, then Arlo Starts Recording"
T036_S0006,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Ring Detected from Ring, do Send message to a circle using Life360. If Ring Doorbell then notify Life 360 group.. If doorbell pushed, notify Life 360 group."
T036_S0007,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Motion Detected from Ring, do Turn lights on using LIFX. Turn Porch light on when there is motion. Turn Light on"
T036_S0008,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Ring Detected from Ring, do Change color using Philips Hue. If new Ding detected at Front Door, then change color on All lights. If new Ding detected at Front Door, then change color on All lights"
T036_S0009,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Motion Detected from Ring, do Turn on lights using Philips Hue. If Ring Pro motion then HUE light. If Ring Pro detects motion at front door, turn on HUE porch light"
T036_S0010,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"When New Ring Detected from Ring, do Send a command using openHAB. Let openHAB know that my Ring Video Doorbell has been rung!. See the following for more information on configuring openHAB:https://gist.github.com/jcollie/f46de277e9339880cd6ec47cad4ec4e2"
