triggerTitle,triggerChannelTitle,actionTitle,actionChannelTitle,title,desc,trigger_class,action_class,rule_scope,topic_text,topic_id,topic_name,numtopic_id,sample_id,llm_topic_name,green_category,global_green_relevance,if_then_rule,green_relevance,keep_for_rag
You enter an area,Location,Resume programmed schedule,Honeywell Total Connect Comfort,"When you get close to home, resume the programmed thermostat schedule","If your home automation system sets your thermostat to an ""Away"" temperature and places a hold on it while you're gone, this Applet will let it go back to normal when you're getting close to home and can help get the house comfortable faster.",context,smart_home,context_aware_smart_home,"When You enter an area from Location, do Resume programmed schedule using Honeywell Total Connect Comfort. When you get close to home, resume the programmed thermostat schedule. If your home automation system sets your thermostat to an ""Away"" temperature and places a hold on it while you're gone, this Applet will let it go back to normal when you're getting close to home and can help get the house comfortable faster.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0001,presence_based_automation,occupancy_based_control,medium,IF You enter an area from Location THEN Resume programmed schedule using Honeywell Total Connect Comfort.,medium,True
You enter an area,Location,Resume programmed schedule,Honeywell Total Connect Comfort,If you enter an area resume the normal programmed schedule,Resume normal thermostat operation when returning back to home after an absence.,context,smart_home,context_aware_smart_home,"When You enter an area from Location, do Resume programmed schedule using Honeywell Total Connect Comfort. If you enter an area resume the normal programmed schedule. Resume normal thermostat operation when returning back to home after an absence.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0002,presence_based_automation,occupancy_based_control,medium,IF You enter an area from Location THEN Resume normal programmed schedule using Honeywell Total Connect Comfort.,medium,True
Motion has been detected,Netatmo Security,Turn on,D-Link Smart Plug,"If motion seen by Netatmo Welcome, then turn on D-Link Smart Plug.","If motion seen by Netatmo Welcome, then turn on D-Link Smart Plug.",smart_home,smart_home,core_smart_home,"When Motion has been detected from Netatmo Security, do Turn on using D-Link Smart Plug. If motion seen by Netatmo Welcome, then turn on D-Link Smart Plug.. If motion seen by Netatmo Welcome, then turn on D-Link Smart Plug.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0003,presence_based_automation,occupancy_based_control,medium,IF Motion has been detected from Netatmo Security THEN Turn on using D-Link Smart Plug.,medium,True
Someone unknown has been seen,Netatmo Security,Turn on,D-Link Smart Plug,"If unknown person seen by Welcome, then turn on D-Link Smart Plug .","If unknown person seen by Welcome, then turn on D-Link Smart Plug .",smart_home,smart_home,core_smart_home,"When Someone unknown has been seen from Netatmo Security, do Turn on using D-Link Smart Plug. If unknown person seen by Welcome, then turn on D-Link Smart Plug .. If unknown person seen by Welcome, then turn on D-Link Smart Plug .",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0004,presence_based_automation,occupancy_based_control,medium,IF Someone unknown has been seen from Netatmo Security THEN Turn on using D-Link Smart Plug.,none,False
tadoâ Â° switches to Home Mode,tado Air Conditioning,Turn lights on,LIFX,"If tadoÂ° switches to Home mode, then turn the lights on",No more searching for the light switch when you come back home. Automatically turn on your Lifx bulbs if tadoÂº notices that you come back home.,smart_home,smart_home,core_smart_home,"When tadoâ Â° switches to Home Mode from tado Air Conditioning, do Turn lights on using LIFX. If tadoÂ° switches to Home mode, then turn the lights on. No more searching for the light switch when you come back home. Automatically turn on your Lifx bulbs if tadoÂº notices that you come back home.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0005,presence_based_automation,occupancy_based_control,medium,IF tado° switches to Home Mode from tado Air Conditioning THEN Turn lights on using LIFX.,medium,True
New motion event,Nest Cam,Turn light on,Emberlight,Light ON when motion is detected,"When your nestcam detects a motion, emberlight will turn your light ON.",smart_home,smart_home,core_smart_home,"When New motion event from Nest Cam, do Turn light on using Emberlight. Light ON when motion is detected. When your nestcam detects a motion, emberlight will turn your light ON.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0006,presence_based_automation,occupancy_based_control,medium,IF New motion event from Nest Cam THEN Turn light on using Emberlight.,medium,True
Every day at,Date & Time,Set the thermostat to schedule,Hive Active Heating,Set my heating to schedule at bed time,Make sure your thermostat is set to schedule over night by running this Recipe every night at the time you specify.,context,smart_home,context_aware_smart_home,"When Every day at from Date & Time, do Set the thermostat to schedule using Hive Active Heating. Set my heating to schedule at bed time. Make sure your thermostat is set to schedule over night by running this Recipe every night at the time you specify.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0007,presence_based_automation,occupancy_based_control,medium,IF Every day at from Date & Time THEN Set the thermostat to schedule using Hive Active Heating.,medium,True
Every day at,Date & Time,Lock,SmartThings,Use SmartThings to lock your doors every night,Make sure your doors are locked every night.,context,smart_home,context_aware_smart_home,"When Every day at from Date & Time, do Lock using SmartThings. Use SmartThings to lock your doors every night. Make sure your doors are locked every night.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0008,presence_based_automation,occupancy_based_control,medium,IF Every day at from Date & Time THEN Lock using SmartThings.,none,False
Every day of the week at,Date & Time,Lock,SmartThings,Use this to automatically lock your door at a time of day.,I use this to lock my house in the eveningI am using the DanalockIf I forget to lock the front door,context,smart_home,context_aware_smart_home,"When Every day of the week at from Date & Time, do Lock using SmartThings. Use this to automatically lock your door at a time of day.. I use this to lock my house in the eveningI am using the DanalockIf I forget to lock the front door",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0009,presence_based_automation,occupancy_based_control,medium,IF Every day of the week at from Date & Time THEN Lock using SmartThings.,none,False
Smart Home/Away,ecobee,Turn off,WeMo Light Switch,"If Ecobee thermostat detects I'm not home, turn off the lights",Uses smarthome/smartaway to tell if you are home or not,smart_home,smart_home,core_smart_home,"When Smart Home/Away from ecobee, do Turn off using WeMo Light Switch. If Ecobee thermostat detects I'm not home, turn off the lights. Uses smarthome/smartaway to tell if you are home or not",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0010,presence_based_automation,occupancy_based_control,medium,IF Smart Home/Away from ecobee THEN Turn off using WeMo Light Switch.,high,True
